id,word
560,love
560,love
560,love
560,take
560,care
559,friends
559,family
559,family
559,hope
559,peace
559,well
559,stay
559,life
559,never
559,get
559,back
558,yes
558,sir
558,would
558,like
558,thank
558,support
558,would
558,like
558,thank
558,support
558,death
558,row
558,would
558,also
558,like
558,apologize
558,time
558,family
558,love
558,warden
558,may
557,yes
557,sir
557,father
557,please
557,forgive
557,know
556,put
556,fight
556,death
556,took
556,years
556,thank
556,god
556,lord
556,ready
554,thank
554,love
554,love
554,ya
554,good
554,one
554,killed
554,ya
554,happy
554,love
554,ya
554,see
554,side
554,ya
554,good
554,warden
554,ready
553,want
553,make
553,sure
553,family
553,love
553,like
553,love
553,make
553,sure
553,kids
553,world
553,know
553,kids
553,keep
553,fight
553,going
553,good
553,warden
551,everyone
551,know
551,love
551,see
551,side
550,yes
550,would
550,like
550,say
550,know
550,fight
550,still
550,still
550,love
550,family
550,hold
550,right
549,first
549,would
549,like
549,say
549,know
549,many
549,want
549,thank
549,would
549,like
549,everyone
549,people
549,death
549,row
549,good
549,happy
549,got
549,know
548,well
548,see
548,go
548,please
547,first
547,would
547,like
547,praise
547,lord
547,jesus
547,christ
547,ask
547,forgiveness
547,family
547,made
547,done
547,god
547,forgive
547,please
547,find
547,hearts
547,forgive
547,sorry
547,long
547,time
547,pray
547,keep
547,hope
547,find
547,heart
547,forgive
547,sorry
547,brother
547,thank
547,happy
547,done
547,lord
547,forgive
547,please
547,tell
547,everyone
547,tell
547,kids
547,sorry
547,thank
547,god
547,bless
547,ready
547,warden
546,like
546,take
546,say
546,sorry
546,words
546,could
546,ever
546,done
546,family
546,wish
546,could
546,god
546,bless
546,die
546,made
546,peace
546,would
546,like
546,wish
546,happy
546,today
546,would
546,like
546,thank
546,helped
546,know
546,god
546,bless
546,everybody
546,ready
546,warden
545,statement
545,words
545,first
545,want
545,thank
545,family
545,end
545,love
545,much
545,know
545,love
545,life
545,go
544,want
544,let
544,everyone
544,know
544,love
544,much
544,hurt
544,lot
544,people
544,lot
544,people
544,hurt
544,love
544,much
544,life
544,end
544,goes
544,life
544,way
544,one
544,day
544,need
544,hurt
544,people
544,love
544,much
544,ready
544,go
544,back
544,everybody
544,everybody
544,done
544,warden
543,first
543,like
543,say
543,justice
543,never
543,taking
543,life
543,wife
543,kids
543,love
543,always
542,yes
542,warden
542,statement
542,lot
542,hope
542,bring
542,closure
542,hope
542,bring
542,peace
542,sorry
542,pain
542,suffering
542,sorry
542,long
542,time
542,sorry
542,family
542,pray
542,hate
542,jesus
542,letter
542,sorry
542,sorry
542,hope
542,death
542,bring
542,peace
542,closure
542,pray
542,bring
542,peace
542,hope
542,could
542,forgive
542,understand
542,think
542,could
542,forgive
542,anyone
542,would
542,killed
542,sorry
